record_id,Count (classes),Count (horses),trainer,trainers,source,horse,horses,Count (entries),rider_display,rec_id,entries,rider,entry_go_times,wec-alerts,class_oog,class_oog copy,class_results,cwf
recBVfnQM8nNbbdxu,0,1,Andrew C. Welles,"[""rectc0mHofDhAxAVA""]",class_oog,Boozeman Na,"[""recUmtfePV5ddCIPw""]",2,Andrew,recBVfnQM8nNbbdxu,"[""recQKRRPsv4UmJwLN"",""reciZLzI85ELzOUlg""]",Andrew C. Welles,,,,,,
recBW5fiD0x2A09pZ,0,1,Kacey Conway,"[""recYF9eSOEpYZn4Ko""]",class_oog,Quizmaster,"[""recFPiXW19r8Sahoe""]",1,Kacey,recBW5fiD0x2A09pZ,"[""recg3iVOGhe4SnUe2""]",Kacey Conway,,,,,,
recBiXeZ9sjJZpkqE,0,1,Taylor Manning,"[""recdHGo38u6gzbP2H""]",class_oog,Ameko Chaccord,"[""recn9DHhf2ZgrfQgn""]",0,Kari,recBiXeZ9sjJZpkqE,,Kari Gilley,,,,,,
recBjI827CmqKZ34c,0,1,Chloe Mouton,"[""recT8YlCbrNCIUBkI""]",class_oog,Lightning Pj,"[""recK7HuwvnCExHclP""]",1,Chloe,recBjI827CmqKZ34c,"[""recEmcKd7RW2NEeOK""]",Chloe Mouton,,,,,,
recBsgA1wwnEqhLqK,0,1,Louise Pejstrup,"[""recrRgNvE5RPL730y""]",class_oog,Chico Bella Z,"[""recm7DogiyLZ4sE7G""]",1,Lily,recBsgA1wwnEqhLqK,"[""reclRKdPoWFOjaNtJ""]",Lily Niebur,,,,,,
recBvnLmlMg8sppYy,0,1,Dominique H. Damico,"[""recUSP9h7nazUAhZI""]",class_oog,Ironclad's Fairmont,"[""rect0uldbYtw7E0RS""]",1,Randi,recBvnLmlMg8sppYy,"[""reca0h4RLbgEQB1f6""]",Randi Callahan,,,,,,
recC09AfMrEyrk5ms,0,3,Juan A. Rodriguez Silva,"[""reclu4ZfxeCUoDgLA""]",class_oog,Nova,"[""rect83LY8rhaPLnTE"",""recjs9EM2uPYaUcmj"",""recFlyjedAVJDtOjI""]",2,Juan,recC09AfMrEyrk5ms,"[""recTayOSJm4BUxgZ6"",""recoKhtHWlDxbFv5x""]",Juan A. Rodriguez Silva,,,,,,
recC1iPVmbpbSBj7x,0,1,Natalie Johnson Russell,"[""reciFw1xeBgWRjqTt""]",class_oog,Koh I Knoor,"[""recPUXz9OXL5sXEi5""]",1,Natalie,recC1iPVmbpbSBj7x,"[""recdOBrLHAVTVoaxj""]",Natalie Johnson Russell,,,,,,
recC3p9Pnylt1n6Wr,0,1,Caroline Willard Briles,"[""recgDRmlgICPwHaba""]",class_oog,Freeman,"[""recMIT3uYfio9vRzJ""]",1,Caroline,recC3p9Pnylt1n6Wr,"[""recCsSwjsbcad6kVC""]",Caroline Willard Briles,,,,,,
recC4avxEI7hGm32h,0,1,Addison Reed,"[""recRlcCb6UzGjsfM8""]",class_oog,Kanai,"[""rec1ihQOtFr55EjAR""]",0,Kelly,recC4avxEI7hGm32h,,Kelly Kiser,,,,,,
recCA5R1gLJVfkock,0,1,Debbie L. Mccarthy-Connor,"[""recwFYOP4JHOhB8kQ""]",class_oog,Mon-Ami,"[""recPCPE46XHSXdeQx""]",1,Debbie,recCA5R1gLJVfkock,"[""recgKQ2d9LL6SOBLX""]",Debbie L. Mccarthy-Connor,,,,,,
recCGQAHzRxj61j7x,0,1,Spencer Brittan,"[""recqByBk0EpjI9rLn""]",class_oog,Dee Dee Gz,"[""recNm9iI4P34OMHyE""]",1,Samantha,recCGQAHzRxj61j7x,"[""recc7xn13H6oiCRUV""]",Samantha Fields,,,,,,
recCMlq6p9MboaRTk,0,1,Lisa Hasenbeck,"[""recSN0eF04okgAD8J""]",class_oog,Marvick,"[""recS2og6juvFiIejV""]",1,Emma,recCMlq6p9MboaRTk,"[""recLe5HKdO4Ch1uW8""]",Emma Reimer,,,,,,
recCSEBtoiH12jjkL,0,1,Spencer Brittan,"[""recqByBk0EpjI9rLn""]",class_oog,Quasar De Medi,"[""recJyCrUlzOgSUcr5""]",1,Marlene,recCSEBtoiH12jjkL,"[""recyrvLrihL58fzZD""]",Marlene Gonzalez,,,,,,
recCcq5PlsD69xriP,0,1,Dana Ventrice,"[""rect7nOXb9JImTCcP""]",class_oog,Lady Glitter Sparkles,"[""recioCKp5HurRkzvh""]",1,Cassie,recCcq5PlsD69xriP,"[""recsIjdKEsOQGFlUO""]",Cassie Gil,,,,,,
