record_id,show_no,entry_no,entry_display,horse,horse_display,rider,rider_display,trainer,trainer_display,active
rec3FAchzIv5xBucH,14909,1707,1707,Ally Z,,Anne L. Bingler,Anne,Anne L. Bingler,Anne L. Bingler,1
rec3K75aukCEzb49g,14909,1682,1682,Allegra Van Het Eikenhof Z,,Aria Collins,Aria,Jessica Collins,Jessica Collins,1
rec3MT7xCq5XAhkoB,14909,1916,1916,Hhf Levison's Pride,,Bryce P. Richardson,Bryce,Bryce P. Richardson,Bryce P. Richardson,1
rec3Me0gpJHib7Ibm,14909,2017,2017,United Del Coco,,Julia Worden,Julia,Julia Worden,Julia Worden,1
rec3NAfKM6Cekfee9,14909,2258,2258,Layla 74,,,,,,1
rec3Px2mda67HXYII,14909,1816,1816,Luna,,,,,,1
rec3UacfaeKhcUceZ,14909,1398,1398,Robijn Van't Roosakker,,,,,,1
rec3Uv3yOB4Q5NwZf,14909,2954,2954,Dropshot Z,,Paige Jones,Paige,Dominique H. Damico,Dominique H. Damico,1
rec3W1m1CRMqKtOku,14909,2383,2383,A La Quattro S,,Vivian Heyer,Vivian,August Torsilieri,August Torsilieri,1
rec3YkBAt3T7g2M9W,14909,1187,1187,Phantom,,Adelyn Miller,Adelyn,Stephanie Free,Stephanie Free,1
rec3YmHX4HQFsL9hK,14909,1355,1355,Chocolat Van De Broy Z,,,,,,1
rec3Z99UEZL8sSNY7,14909,1095,1095,Cabana Boy,,Isaac Leffkowitz,Isaac,Isaac Leffkowitz,Isaac Leffkowitz,1
rec3a2wD5CY19q8Cn,14909,2319,2319,,,,,,,1
rec3bLIGAk2dqZnDe,14909,3034,3034,Napoleon,,Robert P. Stucky,Robert,Robert P. Stucky,Robert P. Stucky,1
rec3bOlbdj40pNOjs,14909,1161,1161,Bristol Bay,Bristol Bay,,,,,1
rec3d5aE12ySM19YR,14909,1984,1984,Olli Van De Zuuthoeve,,Dana Narayanappa,Dana,Natalie Johnson Russell,Natalie Johnson Russell,1
rec3wby7DWIiWanEq,14909,1879,1879,Salute To You,,Daniela Pulgar,Daniela,Daniela Roy,Daniela Roy,1
rec3wfvjfMjQ9sCII,14909,1249,1249,Colombiana,,Erica Robson,Erica,Erica Robson,Erica Robson,1
rec3zr0DE8MzOsdpK,14909,1221,1221,Kobalt Des Vk,,Mackenzie R. McGehee,Mackenzie,Megan Wexler,Megan Wexler,1
rec3zyMPoFyldLxW3,14909,107,107,Conthalando Ps,,Manuel G. Torres,Manuel,Manuel G. Torres,Manuel G. Torres,1
