class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
"268) USHJA Hunter 2'6""",268,"USHJA Hunter 2'6""",20,29064,10533,false,false
"269) USHJA Hunter 2'6"" U/S",269,"USHJA Hunter 2'6"" U/S",11,29065,10533,false,false
"270) USHJA Hunter 2'9""",270,"USHJA Hunter 2'9""",14,29264,10532,false,false
"271) USHJA Hunter 2'9""",271,"USHJA Hunter 2'9""",14,29263,10532,false,false
"272) USHJA Hunter 2'9""",272,"USHJA Hunter 2'9""",10,29262,10532,false,false
"273) USHJA Hunter 2'9""",273,"USHJA Hunter 2'9""",7,29261,10532,false,false
"274) USHJA Hunter 2'9"" U/S",274,"USHJA Hunter 2'9"" U/S",6,29260,10532,false,false
275) USHJA Hunter 3',275,USHJA Hunter 3',11,29066,10531,false,false
276) USHJA Hunter 3',276,USHJA Hunter 3',8,29067,10531,false,false
277) USHJA Hunter 3',277,USHJA Hunter 3',21,29068,10531,false,false
278) USHJA Hunter 3',278,USHJA Hunter 3',16,29069,10531,false,false
279) USHJA Hunter 3'' U/S,279,USHJA Hunter 3'' U/S,7,29070,10531,false,false
"280) Baby Green Hunter 2'6""",280,"Baby Green Hunter 2'6""",6,29046,10526,false,false
281) Baby Green Hunter 2'6',281,Baby Green Hunter 2'6',6,29047,10526,false,false
282) Baby Green Hunter 2'6',282,Baby Green Hunter 2'6',5,29048,10526,false,false
"283) Baby Green Hunter 2'6""",283,"Baby Green Hunter 2'6""",5,29049,10526,false,false
284) Baby Green Hunter U/S,284,Baby Green Hunter U/S,3,29050,10526,false,false
305) $100 Low Children's Hunter 2'/6',305,$100 Low Children's Hunter 2'/6',12,33543,12051,false,true
"306) $100 Low Children's Hunter (1st rnd Classic) 2'6""",306,"$100 Low Children's Hunter (1st rnd Classic) 2'6""",12,33544,12051,false,true
307) $100 Low Children's Hunter 2'/6',307,$100 Low Children's Hunter 2'/6',11,33545,12051,false,true
308) $100 Low Children's Hunter 2'/6',308,$100 Low Children's Hunter 2'/6',11,33546,12051,false,true
309) $50 Low Children's Hunter 2'/6' U/S,309,$50 Low Children's Hunter 2'/6' U/S,12,33547,12051,false,true
315) $100 Low Children's Pony Hunter 2',315,$100 Low Children's Pony Hunter 2',0,29020,10431,false,false
316) $100 Low Children's Pony Hunter 2',316,$100 Low Children's Pony Hunter 2',0,29021,10431,false,false
317) $100 Low Children's Pony Hunter 2',317,$100 Low Children's Pony Hunter 2',0,29022,10431,false,false
318) $100 Low Children's Pony Hunter 2',318,$100 Low Children's Pony Hunter 2',0,29023,10431,false,false
319) $50 Low Children's Pony Hunter U/S,319,$50 Low Children's Pony Hunter U/S,0,29024,10431,false,false
"320) $100 Low Adult Hunter 18-35 2'6""",320,"$100 Low Adult Hunter 18-35 2'6""",10,29025,10528,false,true
"321) $100 Low Adult Hunter 18-35 (1st rnd Classic) 2'6""",321,"$100 Low Adult Hunter 18-35 (1st rnd Classic) 2'6""",10,29026,10528,false,true
"322) $100 Low Adult Hunter 18-35 2'6""",322,"$100 Low Adult Hunter 18-35 2'6""",9,29027,10528,false,true
"323) $100 Low Adult Hunter 18-35 2'6""",323,"$100 Low Adult Hunter 18-35 2'6""",8,29028,10528,false,true
324) $50 Low Adult Hunter 18-35 U/S,324,$50 Low Adult Hunter 18-35 U/S,8,29029,10528,false,true
"325) $100 Low Adult Hunter 36-54 2'6""",325,"$100 Low Adult Hunter 36-54 2'6""",8,29030,10413,false,true
326) $100 Low Adult Hunter 36-54 (1st rnd Classic) 2'6',326,$100 Low Adult Hunter 36-54 (1st rnd Classic) 2'6',8,29031,10413,false,true
"327) $100 Low Adult Hunter 36-54 2'6""",327,"$100 Low Adult Hunter 36-54 2'6""",8,29032,10413,false,true
"328) $100 Low Adult Hunter 36-54 2'6""",328,"$100 Low Adult Hunter 36-54 2'6""",8,29034,10413,false,true
329) $50 Low Adult Hunter 36-54 U/S,329,$50 Low Adult Hunter 36-54 U/S,8,29035,10413,false,true
"330) $100 Low Adult Hunter 55+ 2'6""",330,"$100 Low Adult Hunter 55+ 2'6""",5,29036,10412,false,true
331) $100 Low Adult Hunter 55+ (1st rnd Classic) 2'6',331,$100 Low Adult Hunter 55+ (1st rnd Classic) 2'6',5,29037,10412,false,true
"332) $100 Low Adult Hunter 55+ 2'6""",332,"$100 Low Adult Hunter 55+ 2'6""",5,29038,10412,false,true
"333) $100 Low Adult Hunter 55+ 2'6""",333,"$100 Low Adult Hunter 55+ 2'6""",5,29039,10412,false,true
334) $50 Low Adult Hunter 55+ U/S,334,$50 Low Adult Hunter 55+ U/S,4,29040,10412,false,true
"404) $10,000 USHJA UF Vet Hunter Derby 3' Open",404,"$10,000 USHJA UF Vet Hunter Derby 3' Open",13,29176,0,true,true
"405) $10,000 USHJA National Hunter Derby 3' Jr/Am",405,"$10,000 USHJA National Hunter Derby 3' Jr/Am",22,29177,0,true,true
"406) $10,000 Golden Ocala Hunter Derby 3'6/3'9",406,"$10,000 Golden Ocala Hunter Derby 3'6/3'9",11,29178,0,true,true
"407) $2,000 USHJA Pony Hunt & Go Derby 2'3""/2'6""/2'9""",407,"$2,000 USHJA Pony Hunt & Go Derby 2'3""/2'6""/2'9""",7,29179,0,true,true
408) $2500 WEC NonPro Hunt & Go Derby 2'6,408,$2500 WEC NonPro Hunt & Go Derby 2'6,8,29175,0,true,true
"412) $3500 Junior Hunter Classic 3'6""/3'6""",412,"$3500 Junior Hunter Classic 3'6""/3'6""",9,33541,0,true,true
"416) $3500 Amateur Owner Hunter Classic 3'6""/3'3""",416,"$3500 Amateur Owner Hunter Classic 3'6""/3'3""",11,33558,0,true,true
"418) $2500 Pony Hunter Classic 2'3/2'6""/2'9""",418,"$2500 Pony Hunter Classic 2'3/2'6""/2'9""",10,29431,0,true,true
