record_id,show_no,trainer,trainer_display,tag,active
rech8z7SrtfRDMN0j,14907,Lindsay Standley,Lindsay Standley,,0
rechIeLAeG0AY6zFc,14907,Bibby F. Hill,Bibby F. Hill,,0
rechMdfBTsAkaoR7P,14907,Ashlynn Meuchel,Ashlynn Meuchel,,0
rechQszLeuxBMYqll,14907,Sven Frei,Sven Frei,,0
rechciBzZWtqtHHZq,14907,Ciaran Flynn,Ciaran Flynn,,0
rechnMyqDMI94XcqU,14907,Jennifer Strickland,Jennifer Strickland,,0
reci3OiwSw0ssqcKI,14907,Terry Gonzalez,Terry Gonzalez,,0
reciFw1xeBgWRjqTt,14907,Natalie Johnson Russell,Natalie Johnson Russell,,0
reciLuEt5I93MQMy9,14907,Brock Clermont,Brock Clermont,,0
reciQqSfWbMiP5zxf,14907,Juan M. Bolanos,Juan M. Bolanos,,0
reciZDolH9q1XcQGD,14907,Diego Bedoya,Diego Bedoya,,0
recj1mtC1YuSuggTF,14907,Cynthia D Mesker,Cynthia D Mesker,,0
recjGahspjyOKdkyr,14907,Carly Tredinnick,Carly Tredinnick,,0
recjYsJmAKVPUAG2i,14907,Luciano Dome,Luciano Dome,,0
recjs9szuz6Ll0w50,14907,Elizabeth Solomon,Elizabeth Solomon,,0
reckdATr2NvXwU0Ah,14907,Davide Troncanetti,Davide Troncanetti,,0
reckwt4VtWr7R1D6A,14907,Annalee Bennett,Annalee Bennett,,0
reckydHWVV9YphkZt,14907,H Dougl Schreiber,H Dougl Schreiber,,0
recl4930Uvn00qNs0,14907,Andres A. Correa,Andres A. Correa,,0
reclHVeeKHQlhkXJF,14907,Robert P. Stucky,Robert P. Stucky,,0
reclcUH7P4ed068kk,14907,Ved Sarma Sarkar,Ved Sarma Sarkar,,0
reclpyjsxImYb6Ul2,14907,Brooke Eddy,Brooke Eddy,,0
reclu4ZfxeCUoDgLA,14907,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,,0
recmCyrv5t0l7hgsj,14907,Katlynn Butler,Katlynn Butler,,0
recmEHqV9uMzGpVKb,14907,Grace Dreyer,Grace Dreyer,,0
recmTGLWfZLnyH6TK,14907,Ben Taylor,Ben Taylor,,0
recmuuXibSUSiIg5P,14907,Jenelle Branom,Jenelle Branom,,0
recnRRpu2nz5AuBj6,14907,Derek Reed,Derek Reed,,0
recnfUPcKk9Gyyfct,14907,Tara G. Bostwick,Tara G. Bostwick,,0
recngP9BiQZ2G5KZc,14907,Victoria Sheehan,CWF,,1
recnudTKRRkJLGHpL,14907,Julie Burton,CWF,,1
recnutMCbWmttrhyI,14907,Samuel Parot,Samuel Parot,,0
recoD21rUN9Qq4pgV,14907,Ashlee Bond,Ashlee Bond,,0
recoIakTck18pHikM,14907,Antonio J. Martinez,Antonio J. Martinez,,0
recoecRalvylo1ERb,14907,Dennis Mitchell,Dennis Mitchell,,0
recokYiwVzDqI2UFJ,14907,Jessica Leto,Jessica Leto,,0
recotkhuiB65Mp1KD,14907,Pablo J. Barrios,Pablo J. Barrios,,0
recp8AfepuIJngrGM,14907,Debra L. Ward,Debra L. Ward,,0
recpHh1PShXkwhM2V,14907,Leah Lang-Gluscic,Leah Lang-Gluscic,,0
recpwhIril531ls02,14907,Kathryn Delaney,Kathryn Delaney,,0
recq1xhVivniA66Lf,14907,Luis Sabino Goncalves,Luis Sabino Goncalves,,0
recq5CHnS6h3E8w58,14907,Kim E. Burnette,Kim E. Burnette,,0
recqByBk0EpjI9rLn,14907,Spencer Brittan,Spencer Brittan,,0
recqHUJJahci2rF3E,14907,Kimberly S. Maloomian,Kimberly S. Maloomian,,0
recqI6AanH1zv5CGV,14907,Jelmer Hoekstra,Jelmer Hoekstra,,0
recqebjIKM3r0tkep,14907,Stefano Baruzzo,Stefano Baruzzo,,0
recqmThVFmsIM6E8t,14907,Sharn L. Wordley,Sharn L. Wordley,,0
recrRgNvE5RPL730y,14907,Louise Pejstrup,Louise Pejstrup,,0
recrxvCY429zqmage,14907,Javier Camargo,Javier Camargo,,0
recsPLowZbvHYk4Z9,14907,Rileigh Amorginos,Rileigh Amorginos,,0
rect1laGmQRq2wmFo,14907,Anna Christina Gansauer,Anna Christina Gansauer,,0
rect7nOXb9JImTCcP,14907,Dana Ventrice,Dana Ventrice,,0
rectIwXBJfkrEAaOG,14907,Bryce P. Richardson,Bryce P. Richardson,,0
rectbL4oLPTwFxdNp,14907,Heather Dayner,Heather Dayner,,0
rectc0mHofDhAxAVA,14907,Andrew C. Welles,Andrew C. Welles,,0
rectkJACVgE6s05BM,14907,Izabella Mcnerney,Izabella Mcnerney,,0
rectmuBKijy6rE4R4,14907,No Trainer,No Trainer,,0
recu6ryZgZnbr8Vbq,14907,Kris Killam,Kris Killam,,0
recuCa50EnJzLbF6E,14907,Elin Mossberg,Elin Mossberg,,0
recuRmh8EsUEag8cU,14907,Troy Linback,Troy Linback,,0
recuU297BOg1dPG6Q,14907,Chloe D. Reid,Chloe D. Reid,,0
recueBhFGFi7LFglR,14907,Jamie Reinheimer,Jamie Reinheimer,,0
recupQMhsCpx3otEi,14907,Stephen Dicarlo,Stephen Dicarlo,,0
recuv8jdRvTVv1a9Z,14907,Selcuk Koksalan,Selcuk Koksalan,,0
